agent_id,agent_name,UI,UX,Visual Design,Responsive Design,Accessibility,Typography,Animation,Theming,Code Quality,Performance,Data Structures,Component Architecture,State Management,Security,Error Handling,Reusability,Functionality,Form Validation,Navigation,Consistency,Loading States,Empty States,Domain Knowledge,Completeness,Innovation,Maintainability,Testing,Documentation,API Integration,Scalability
admin,admin_Gemini Pro 3.1,9,9,9,9,8,9,8,10,9,9,9,9,8,8,8,9,9,8,9,9,8,8,98,98,8,9,9,8,9,9
admin1,admin1_Osman,6,6,6,7,7,8,5,6,9,4,7,9,9,6,7,9,8,8,9,7,7,6,6,98,8,7,7,8,7,9
0,Deneme_BasicSubAgent,7,6,7,5,5,7,5,8,6,5,5,6,5,5,4,6,6,5,7,7,7,4,5,5,4,5,4,4,5,5
1,001_ms_senior_frontend_dev,7,6,7,6,5,7,5,9,8,6,6,8,7,6,4,8,6,5,7,8,8,3,6,6,5,7,6,5,7,6
2,002_ms_ux_lead,8,7,8,6,4,8,5,9,98,6,98,7,6,98,3,7,6,4,8,8,7,2,7,6,5,98,98,98,98,98
3,003_ms_engineering_manager,7,7,7,6,5,7,5,8,7,6,6,8,7,6,4,8,6,5,7,8,7,3,6,7,5,7,6,5,7,6
4,004_google_staff_ux_eng,8,7,8,6,5,8,5,9,7,6,6,8,7,5,4,8,6,5,8,8,8,3,6,6,5,7,6,5,7,6
5,005_google_senior_sre,6,5,5,5,4,5,4,7,7,6,5,7,6,6,3,6,5,4,6,6,7,2,5,5,4,6,6,5,7,6
6,006_google_design_lead,8,7,8,6,5,8,5,9,5,6,5,6,5,5,4,7,6,4,8,8,7,3,3,4,5,5,4,4,5,5
7,007_apple_senior_ui_eng,8,7,8,6,5,8,4,9,7,6,6,8,7,6,4,8,6,5,8,8,8,3,3,4,5,7,6,5,7,6
8,008_apple_hig_design_lead,8,8,8,6,5,8,4,9,5,5,5,6,5,5,3,6,6,4,8,9,7,3,3,4,5,5,4,4,5,5
9,009_apple_frontend_architect,7,6,7,6,5,7,5,8,8,7,7,9,8,7,4,8,6,5,7,7,8,3,3,5,5,8,7,5,8,7
10,010_meta_senior_product_designer,7,7,7,6,5,7,5,8,5,6,98,6,5,98,3,6,6,4,7,7,7,2,3,4,5,98,98,98,5,98
11,011_meta_staff_frontend_eng,7,6,6,6,5,6,5,8,8,7,6,8,8,6,4,8,6,5,7,7,8,3,3,5,5,7,7,5,7,7
12,012_meta_design_systems_lead,8,6,7,6,5,8,5,9,7,6,5,9,6,5,4,9,6,5,8,9,8,3,3,4,5,7,5,4,5,6
13,013_amazon_senior_ux_designer,6,7,6,5,5,7,4,7,5,6,98,6,5,5,3,6,6,4,7,7,7,2,3,4,4,5,5,4,5,5
14,014_amazon_frontend_tech_lead,7,6,6,6,5,6,4,8,7,6,6,8,7,6,4,8,6,5,7,7,7,3,3,5,5,7,6,5,7,7
15,015_amazon_accessibility_eng,6,6,6,5,4,7,4,7,5,5,5,6,5,5,3,6,6,5,6,7,6,3,3,4,4,5,5,4,5,5
16,016_salesforce_senior_lightning_dev,6,6,6,6,6,6,4,7,7,6,6,8,6,6,4,8,6,5,7,7,7,3,4,5,4,7,5,4,7,6
17,017_salesforce_ux_researcher,7,7,7,6,5,7,5,8,98,5,98,5,98,98,3,5,6,4,7,8,7,2,4,4,4,98,98,4,98,98
18,018_salesforce_platform_eng,6,6,6,6,5,6,4,8,7,7,7,9,7,6,4,9,6,5,7,8,7,3,3,5,4,8,6,5,8,8
19,019_adobe_senior_creative_dev,8,7,8,6,5,8,4,9,6,6,5,6,5,5,3,7,6,4,8,8,7,3,3,4,6,5,5,4,5,5
20,020_adobe_design_technologist,7,7,7,6,5,7,5,9,7,6,6,8,7,5,4,8,6,5,7,8,7,3,3,5,5,7,6,5,6,6
21,021_adobe_frontend_architect,7,6,7,6,5,7,5,8,8,7,7,9,8,7,4,8,6,5,7,7,8,3,3,5,5,8,7,5,8,7
22,022_oracle_senior_ui_dev,6,6,6,6,5,6,4,7,7,6,6,8,6,6,4,8,6,5,7,7,7,3,4,5,4,7,5,4,7,6
23,023_oracle_ux_lead,7,7,7,6,5,7,5,8,5,6,5,6,5,5,3,6,6,4,7,8,7,2,4,4,4,5,5,4,5,5
24,024_oracle_cloud_frontend_eng,6,6,6,6,5,6,4,8,7,6,6,7,7,6,4,7,6,5,7,7,8,2,3,5,4,7,6,5,8,6
25,025_oracle_accessibility_specialist,6,6,6,5,4,7,4,7,5,5,5,6,5,5,3,6,6,5,6,7,6,3,3,4,4,5,5,4,5,5
26,026_vercel_fullstack_dev,7,7,7,6,5,7,5,9,7,7,6,8,8,6,4,8,6,5,7,8,8,3,3,5,5,7,6,5,7,7
27,027_linear_frontend_dev,7,7,7,6,5,8,4,9,6,6,5,7,6,5,3,7,6,4,8,8,7,2,3,4,5,6,5,4,6,6
28,028_supabase_ui_eng,7,7,6,6,5,7,5,8,5,6,5,7,6,5,4,7,6,5,7,7,7,3,4,5,5,5,5,4,6,5
29,029_retool_frontend_dev,6,6,6,5,4,6,4,7,5,5,6,6,5,4,3,6,6,5,7,7,6,3,4,5,4,5,5,4,6,5
30,030_railway_fullstack_dev,7,7,6,6,5,7,5,8,6,6,5,7,7,5,4,7,6,5,7,7,7,3,3,5,4,6,5,5,7,6
31,031_resend_creative_dev,8,7,8,6,5,8,5,9,6,6,5,6,6,5,4,7,6,4,8,8,7,3,3,4,5,6,5,4,6,5
32,032_liveblocks_frontend_eng,7,6,6,6,5,6,5,8,7,6,6,8,8,5,4,8,6,5,7,7,8,3,3,5,4,7,6,5,7,6
33,033_calcom_cto,7,7,7,6,5,7,5,8,7,7,6,8,7,6,4,7,6,5,7,7,7,3,4,5,5,7,6,5,7,7
34,034_stripe_mid_frontend_dev,7,7,7,6,5,8,4,8,7,6,6,7,7,5,4,7,6,4,7,8,7,3,3,5,5,7,6,4,7,6
35,035_figma_product_designer,8,7,8,6,5,8,5,9,6,6,5,9,6,5,4,9,6,5,8,9,8,3,3,4,5,6,5,4,5,6
36,036_notion_frontend_eng,7,7,6,6,5,7,5,8,6,6,5,7,6,5,4,6,6,5,7,7,7,3,3,5,4,6,5,4,6,5
37,037_vercel_qa_eng,6,6,5,5,5,6,4,7,6,6,5,6,6,5,3,6,6,4,7,7,7,2,3,4,4,5,6,4,6,5
38,038_twilio_product_owner,6,7,6,5,5,6,5,7,5,5,5,5,5,5,3,5,6,4,7,7,6,3,3,4,4,5,5,4,6,5
39,039_datadog_ui_dev,7,6,6,6,5,6,4,8,6,7,6,7,7,5,4,7,6,5,7,7,8,3,3,5,4,6,5,4,7,6
40,040_atlassian_frontend_dev,7,6,6,6,5,7,5,8,6,6,6,8,6,5,4,8,6,5,7,8,7,3,4,5,4,6,5,4,6,6
41,041_shopify_web_dev,6,7,6,5,5,7,5,7,6,6,5,6,6,5,4,6,6,5,7,7,7,3,3,5,4,6,5,4,6,5
42,042_ustwo_web_designer,7,6,7,6,5,8,4,9,98,5,98,5,98,98,3,6,6,4,7,8,7,3,3,4,4,98,98,4,98,98
43,043_huge_creative_dev,7,6,7,6,5,7,4,8,6,6,5,7,6,5,4,7,6,5,7,7,7,3,3,4,5,6,5,4,6,5
44,044_fantasy_ux_designer,7,7,7,6,5,7,4,8,98,5,98,5,98,98,3,5,6,4,7,7,7,2,3,4,4,98,98,4,98,98
45,045_instrument_frontend_dev,7,6,7,6,5,7,4,8,6,6,5,6,6,5,4,6,6,5,7,7,7,3,3,5,4,6,5,4,6,5
46,046_ramotion_project_manager,7,7,7,6,5,7,5,8,98,5,98,98,98,98,4,5,6,4,7,7,7,3,3,5,4,98,98,4,98,98
47,047_trendyol_frontend_dev,6,6,6,5,5,7,5,7,6,6,5,6,6,5,4,6,6,5,7,7,7,3,3,5,4,6,5,4,6,5
48,048_getir_frontend_dev,6,6,6,5,5,7,5,7,6,6,5,6,6,5,4,6,6,5,7,7,7,3,3,5,4,6,5,4,6,5
49,049_insider_ux_designer,7,7,6,6,5,7,5,8,5,6,5,6,5,5,4,6,6,5,7,7,7,3,4,5,4,5,5,4,5,5
50,050_peakgames_game_ui_dev,7,6,7,6,5,7,3,8,98,5,98,5,98,98,4,6,6,5,7,7,7,3,3,4,4,98,98,4,98,98
51,051_freelance_web_designer,8,7,8,6,5,8,4,9,98,5,98,98,98,98,3,5,6,4,8,8,7,3,3,4,5,98,98,4,98,98
52,052_freelance_fullstack_dev,7,7,6,6,5,7,5,8,7,6,6,7,7,6,4,7,6,5,7,7,7,3,3,5,5,7,6,5,7,6
53,053_freelance_ux_consultant,7,7,7,6,4,7,5,8,5,6,5,6,5,5,3,6,6,4,7,8,7,2,4,4,4,5,5,4,5,5
54,054_freelance_mobile_dev,6,7,6,5,5,7,5,8,5,6,98,5,5,5,4,6,6,5,7,7,7,3,3,5,4,5,5,4,5,5
55,055_freelance_frontend_dev,7,7,6,6,5,7,5,7,6,6,5,7,6,5,4,7,6,5,7,7,7,3,3,5,4,6,5,4,6,6
56,056_freelance_ui_ux_designer,8,7,8,6,5,8,5,9,98,5,98,5,98,98,4,6,6,5,8,8,7,3,3,4,5,98,98,4,98,98
57,057_freelance_devops_eng,5,5,98,5,5,98,98,5,6,6,5,5,5,6,4,5,5,5,6,6,7,3,3,5,98,7,6,5,7,6
58,058_freelance_perf_consultant,5,6,98,5,5,98,98,5,7,7,5,7,5,5,4,6,5,5,6,6,8,3,3,5,98,6,5,4,6,7
59,059_maku_cs_4,7,7,7,6,5,7,5,8,6,6,5,6,5,5,4,6,6,5,7,7,7,3,3,4,4,5,5,4,5,5
60,060_itu_cs_3,6,6,6,6,5,6,5,7,6,6,6,7,6,5,4,7,6,5,7,7,7,3,3,4,4,6,5,4,6,5
61,061_odtu_cs_4,6,6,6,6,5,6,5,7,7,6,6,7,7,5,4,7,6,5,7,7,7,3,3,4,4,6,6,4,6,6
62,062_bogazici_cmpe_4,6,6,6,6,5,6,5,7,7,6,6,7,7,5,4,7,6,5,7,7,7,3,3,4,4,6,5,4,6,6
63,063_hacettepe_cs_3,6,6,6,5,5,6,5,7,5,5,5,6,5,5,4,6,6,5,6,6,6,3,3,4,4,5,98,4,5,98
64,064_ege_se_4,6,6,6,6,5,6,5,7,6,6,6,7,6,5,4,7,6,5,7,7,7,3,3,4,4,6,5,4,6,6
65,065_ytu_cs_3,6,6,6,5,5,6,5,7,5,5,5,6,5,5,4,6,6,5,6,6,6,3,3,4,4,5,98,4,5,98
66,066_ankara_cs_4,6,6,6,6,5,6,5,7,6,6,5,6,5,5,4,6,6,5,7,7,7,3,3,4,4,5,5,4,5,5
67,067_bootcamp_6month,6,6,6,5,5,6,5,7,5,98,98,5,98,98,4,5,6,5,7,6,6,3,3,4,4,98,98,4,5,98
68,068_selftaught_1year,6,6,6,5,5,6,5,7,5,98,98,5,98,98,3,5,6,5,6,6,6,3,3,4,4,98,98,4,98,98
69,069_careerchanger_teacher,7,7,6,5,5,7,5,7,98,98,98,98,98,98,4,98,6,4,7,7,6,3,3,4,4,98,98,4,98,98
70,070_onlinecourse_learner,6,6,6,5,5,6,5,7,5,98,98,5,98,98,4,5,6,5,6,6,6,3,3,4,4,98,98,4,98,98
71,071_bootcamp_3month_intensive,6,6,6,5,5,6,5,7,5,98,98,5,98,98,4,5,6,5,6,6,6,3,3,4,4,98,98,4,5,98
72,072_hobby_coder_mecheng,6,6,6,5,5,6,5,7,98,98,98,98,98,98,4,98,6,5,6,6,6,3,3,4,4,98,98,4,98,98
73,073_hci_professor,7,7,7,6,4,7,5,8,5,5,5,5,5,5,3,5,6,4,7,8,7,2,4,4,4,5,5,4,5,5
74,074_cs_research_assistant,6,6,6,6,5,6,5,7,6,6,6,6,5,5,4,6,6,5,7,7,7,3,3,4,4,6,5,4,5,5
75,075_ux_researcher_phd,7,7,7,6,4,7,5,8,98,5,98,5,98,98,3,5,6,4,7,8,7,2,4,4,4,98,98,4,98,98
76,076_software_eng_docent,6,6,6,6,5,6,5,7,7,6,6,7,6,5,4,7,6,5,7,7,7,3,3,4,4,7,6,4,6,6
77,077_backend_only_dev,6,6,98,5,5,98,98,98,6,6,6,5,5,6,4,5,6,5,7,7,7,3,3,5,98,6,6,5,7,6
78,078_data_scientist,6,6,98,5,5,98,98,7,5,6,6,5,98,98,4,5,6,5,7,7,7,3,3,4,98,5,5,4,6,5
79,079_mobile_dev_noweb,6,6,6,5,5,7,5,7,98,5,98,98,98,5,4,98,6,5,7,7,7,3,3,5,4,98,98,4,5,98
80,080_embedded_systems_eng,5,5,98,5,5,98,98,98,98,5,98,98,98,5,4,98,6,5,6,6,6,3,3,4,98,98,98,4,98,98
81,081_technical_writer,7,7,6,5,5,7,5,7,98,98,98,98,98,98,4,98,6,4,7,7,7,2,4,4,4,98,98,4,98,98
82,082_qa_test_engineer,6,6,6,5,5,6,5,7,6,6,5,6,6,5,3,6,6,4,7,7,7,2,3,4,4,6,6,4,6,5
83,083_scrum_master,6,6,98,5,98,98,98,7,98,98,98,98,98,98,4,98,6,4,7,7,6,3,3,4,4,98,98,4,98,98
84,084_indie_product_manager,6,7,6,5,5,6,5,7,5,6,5,5,5,5,4,5,6,4,7,7,6,3,3,4,4,5,5,4,6,5
85,085_opensource_contributor,6,6,6,6,5,6,5,7,7,6,6,8,7,5,4,8,6,5,7,7,7,3,3,5,4,7,6,4,7,6
86,086_highschool_it_teacher,7,7,6,6,5,7,5,7,5,5,5,5,5,5,4,5,6,5,7,7,7,3,4,4,4,5,98,4,5,98
87,087_junior_frontend_6month,7,6,6,5,5,7,5,7,6,5,5,6,5,5,4,6,6,5,7,7,7,3,3,4,4,5,5,4,5,5
88,088_software_intern,6,6,5,5,5,6,5,7,5,98,98,5,98,98,3,5,6,5,6,6,6,3,3,4,4,98,98,4,98,98
89,089_tech_blogger,7,6,6,5,5,7,5,8,5,5,98,5,98,98,4,5,6,5,7,7,7,3,3,4,4,5,98,4,5,98
90,090_cybersecurity_researcher,5,5,98,5,5,98,98,6,6,5,5,5,5,5,3,5,5,4,6,6,6,3,3,4,98,5,5,4,6,5
91,091_maku_cs_1,7,7,7,5,5,7,5,8,98,98,98,98,98,98,4,98,6,5,7,7,7,3,3,4,4,98,98,4,98,98
92,092_fresh_highschool_grad,7,6,7,5,5,7,5,8,98,98,98,98,98,98,4,98,6,5,6,7,6,3,3,4,4,98,98,4,98,98
93,093_firstsemester_pythononly,6,6,6,5,5,6,5,7,98,98,98,98,98,98,4,98,6,5,6,6,6,3,3,4,4,98,98,4,98,98
94,094_accountant_nocoding,7,6,7,98,98,98,98,7,98,98,98,98,98,98,4,98,6,5,7,7,6,3,3,4,98,98,98,4,98,98
95,095_lawyer_notech,7,6,7,98,98,7,98,7,98,98,98,98,98,98,4,98,6,5,7,7,6,3,3,4,98,98,98,4,98,98
96,096_biologist_noweb,6,6,6,98,98,6,98,7,98,98,98,98,98,98,4,98,6,5,7,7,6,3,3,4,98,98,98,4,98,98
97,097_graphicdesigner_printonly,8,5,8,98,98,8,98,9,98,98,98,98,98,98,98,98,6,5,7,8,98,3,3,4,5,98,98,4,98,98
98,098_casual_internet_user,7,6,6,98,98,6,98,7,98,98,98,98,98,98,4,98,6,5,6,6,6,3,3,4,98,98,98,4,98,98
99,099_retired_teacher,6,5,6,98,98,6,98,6,98,98,98,98,98,98,4,98,6,5,6,6,5,2,3,4,98,98,98,4,98,98
100,100_highschool_student,7,6,7,98,98,7,4,8,98,98,98,98,98,98,98,98,6,5,7,7,6,3,3,4,4,98,98,4,98,98
