agent_id,agent_name,UI,UX,Visual Design,Responsive Design,Accessibility,Typography,Animation,Theming,Code Quality,Performance,Data Structures,Component Architecture,State Management,Security,Error Handling,Reusability,Functionality,Form Validation,Navigation,Consistency,Loading States,Empty States,Domain Knowledge,Innovation,Maintainability,Testing,Documentation,API Integration,Scalability,ortalama_oznitelik
1,001_ms_senior_frontend_dev,69.1,59.2,69.1,55.5,49.3,60.9,56.9,83.3,65.8,68.3,55.5,65.8,60.9,63.4,39.5,65.8,52.2,46.2,57.6,74.0,78.9,31.7,74.0,46.2,64.8,55.5,46.2,64.8,49.3,59.6
2,002_ms_ux_lead,74.7,65.3,74.7,52.5,37.3,65.9,53.8,78.8,N/A,64.6,N/A,54.4,49.4,N/A,28.0,54.4,49.4,35.0,62.2,70.0,65.3,20.0,81.7,43.8,N/A,N/A,N/A,N/A,N/A,56.2
3,003_ms_engineering_manager,70.0,70.0,70.0,56.2,50.0,61.8,57.7,75.0,58.3,69.2,56.2,66.7,61.8,64.3,40.0,66.7,52.9,46.9,58.3,75.0,70.0,32.1,75.0,46.9,65.6,56.2,46.9,65.6,50.0,59.8
4,004_google_staff_ux_eng,82.1,71.9,82.1,57.8,51.3,72.5,59.2,86.6,59.9,71.1,57.8,68.4,63.4,55.0,41.1,68.4,54.4,48.1,68.4,77.0,82.1,33.0,77.0,48.1,67.4,57.8,48.1,67.4,51.3,63.1
5,005_google_senior_sre,59.2,49.3,49.3,46.2,39.5,43.5,45.5,64.8,57.6,68.3,46.2,57.6,52.2,63.4,29.6,49.3,43.5,37.0,49.3,55.5,69.1,21.1,61.7,37.0,55.5,55.5,46.2,64.8,49.3,50.6
6,006_google_design_lead,66.1,57.9,66.1,46.5,41.3,58.4,47.7,69.8,34.4,57.2,38.8,41.3,36.5,44.3,33.1,48.2,43.8,31.0,55.1,62.0,57.9,26.6,31.0,38.8,38.8,31.0,31.0,38.8,34.4,45.1
7,007_apple_senior_ui_eng,66.1,57.9,66.1,46.5,41.3,58.4,38.2,69.8,48.2,57.2,46.5,55.1,51.1,53.1,33.1,55.1,43.8,38.8,55.1,62.0,66.1,26.6,31.0,38.8,54.2,46.5,38.8,54.2,41.3,49.7
8,008_apple_hig_design_lead,69.3,69.3,69.3,48.8,43.3,61.2,40.0,73.1,36.1,50.0,40.6,43.3,38.2,46.4,26.0,43.3,45.9,32.5,57.8,73.1,60.7,27.9,32.5,40.6,40.6,32.5,32.5,40.6,36.1,46.6
9,009_apple_frontend_architect,58.8,50.4,58.8,47.2,42.0,51.9,48.5,63.0,56.0,67.8,55.1,63.0,59.3,63.0,33.6,56.0,44.5,39.4,49.0,55.1,67.2,27.0,31.5,39.4,63.0,55.1,39.4,63.0,49.0,51.6
10,010_meta_senior_product_designer,55.1,55.1,55.1,44.3,39.3,48.6,45.4,59.0,32.8,54.5,N/A,39.3,34.7,N/A,23.6,39.3,41.6,29.5,45.9,51.6,55.1,16.9,29.5,36.9,N/A,N/A,N/A,36.9,N/A,42.2
11,011_meta_staff_frontend_eng,56.9,48.8,48.8,45.7,40.7,43.1,46.9,61.0,54.2,65.7,45.7,54.2,57.4,52.3,32.5,54.2,43.1,38.1,47.4,53.4,65.1,26.1,30.5,38.1,53.4,53.4,38.1,53.4,47.4,48.1
12,012_meta_design_systems_lead,65.1,48.8,56.9,45.7,40.7,57.4,46.9,68.6,47.4,56.3,38.1,61.0,43.1,43.6,32.5,61.0,43.1,38.1,54.2,68.6,65.1,26.1,30.5,38.1,53.4,38.1,30.5,38.1,40.7,47.5
13,013_amazon_senior_ux_designer,46.4,54.1,46.4,36.2,38.7,47.8,35.7,50.8,32.2,53.5,N/A,38.7,34.1,41.4,23.2,38.7,40.9,29.0,45.1,50.8,54.1,16.6,29.0,29.0,36.2,36.2,29.0,36.2,32.2,38.6
14,014_amazon_frontend_tech_lead,55.1,47.2,47.2,44.3,39.3,41.6,36.3,59.0,45.9,54.5,44.3,52.4,48.6,50.6,31.5,52.4,41.6,36.9,45.9,51.6,55.1,25.3,29.5,36.9,51.6,44.3,36.9,51.6,45.9,44.9
15,015_amazon_accessibility_eng,47.2,47.2,47.2,36.9,31.5,48.6,36.3,51.6,32.8,45.4,36.9,39.3,34.7,42.1,23.6,39.3,41.6,36.9,39.3,51.6,47.2,25.3,29.5,29.5,36.9,36.9,29.5,36.9,32.8,38.4
16,016_salesforce_senior_lightning_dev,45.6,45.6,45.6,42.8,45.6,40.2,35.1,49.9,44.3,52.6,42.8,50.7,40.2,48.9,30.4,50.7,40.2,35.6,44.3,49.9,53.2,24.4,38.0,28.5,49.9,35.6,28.5,49.9,38.0,42.3
17,017_salesforce_ux_researcher,52.3,52.3,52.3,42.0,37.3,46.1,43.1,56.0,N/A,43.1,N/A,31.1,N/A,N/A,22.4,31.1,39.5,28.0,43.6,56.0,52.3,16.0,37.3,28.0,N/A,N/A,28.0,N/A,N/A,39.9
18,018_salesforce_platform_eng,46.4,46.4,46.4,43.5,38.7,40.9,35.7,58.0,45.1,62.5,50.8,58.0,47.8,49.7,30.9,58.0,40.9,36.2,45.1,58.0,54.1,24.9,29.0,29.0,58.0,43.5,36.2,58.0,51.6,45.6
19,019_adobe_senior_creative_dev,58.7,51.3,58.7,41.2,36.7,51.8,33.8,61.9,36.7,50.8,34.4,36.7,32.4,39.3,22.0,42.8,38.8,27.5,48.9,55.0,51.3,23.6,27.5,41.2,34.4,34.4,27.5,34.4,30.6,40.1
20,020_adobe_design_technologist,48.5,48.5,48.5,39.0,34.7,42.8,40.0,58.5,40.4,48.0,39.0,46.2,42.8,37.1,27.7,46.2,36.7,32.5,40.4,52.0,48.5,22.3,26.0,32.5,45.5,39.0,32.5,39.0,34.7,40.3
21,021_adobe_frontend_architect,54.1,46.4,54.1,43.5,38.7,47.8,44.6,58.0,51.6,62.5,50.8,58.0,54.6,58.0,30.9,51.6,40.9,36.2,45.1,50.8,61.9,24.9,29.0,36.2,58.0,50.8,36.2,58.0,45.1,47.5
22,022_oracle_senior_ui_dev,44.8,44.8,44.8,42.0,37.3,39.5,34.5,49.0,43.6,51.7,42.0,49.8,39.5,48.0,29.9,49.8,39.5,35.0,43.6,49.0,52.3,24.0,37.3,28.0,49.0,35.0,28.0,49.0,37.3,41.3
23,023_oracle_ux_lead,52.3,52.3,52.3,42.0,37.3,46.1,43.1,56.0,31.1,51.7,35.0,37.3,32.9,40.0,22.4,37.3,39.5,28.0,43.6,56.0,52.3,16.0,37.3,28.0,35.0,35.0,28.0,35.0,31.1,39.1
24,024_oracle_cloud_frontend_eng,39.2,39.2,39.2,36.8,32.7,34.6,30.2,49.0,38.1,45.2,36.8,38.1,40.4,42.0,26.1,38.1,34.6,30.6,38.1,42.9,52.3,14.0,24.5,24.5,42.9,36.8,30.6,49.0,32.7,36.5
25,025_oracle_accessibility_specialist,44.8,44.8,44.8,35.0,29.9,46.1,34.5,49.0,31.1,43.1,35.0,37.3,32.9,40.0,22.4,37.3,39.5,35.0,37.3,49.0,44.8,24.0,28.0,28.0,35.0,35.0,28.0,35.0,31.1,36.5
26,026_vercel_fullstack_dev,58.8,58.8,58.8,47.2,42.0,51.9,48.5,70.9,49.0,67.8,47.2,56.0,59.3,54.0,33.6,56.0,44.5,39.4,49.0,63.0,67.2,27.0,31.5,39.4,55.1,47.2,39.4,55.1,49.0,50.6
27,027_linear_frontend_dev,56.9,56.9,56.9,45.7,40.7,57.4,37.5,68.6,40.7,56.3,38.1,47.4,43.1,43.6,24.4,47.4,43.1,30.5,54.2,61.0,56.9,17.4,30.5,38.1,45.7,38.1,30.5,45.7,40.7,44.6
28,028_supabase_ui_eng,53.2,53.2,45.6,42.8,38.0,46.9,43.8,57.0,31.7,52.6,35.6,44.3,40.2,40.7,30.4,44.3,40.2,35.6,44.3,49.9,53.2,24.4,38.0,35.6,35.6,35.6,28.5,42.8,31.7,41.2
29,029_retool_frontend_dev,46.4,46.4,46.4,36.2,30.9,40.9,35.7,50.8,32.2,44.6,43.5,38.7,34.1,33.1,23.2,38.7,40.9,36.2,45.1,50.8,46.4,24.9,38.7,29.0,36.2,36.2,29.0,43.5,32.2,38.3
30,030_railway_fullstack_dev,47.6,47.6,40.8,38.2,34.0,42.0,39.2,51.0,34.0,47.1,31.9,39.7,42.0,36.4,27.2,39.7,36.0,31.9,39.7,44.6,47.6,21.9,25.5,25.5,38.2,31.9,31.9,44.6,34.0,37.6
31,031_resend_creative_dev,49.1,42.9,49.1,34.5,30.7,43.3,35.4,51.7,30.7,42.5,28.7,30.7,32.5,32.9,24.5,35.8,32.5,23.0,40.9,46.0,42.9,19.7,23.0,28.7,34.5,28.7,23.0,34.5,25.6,34.4
32,032_liveblocks_frontend_eng,44.8,38.4,38.4,36.0,32.0,33.9,36.9,48.0,37.3,44.3,36.0,42.7,45.2,34.3,25.6,42.7,33.9,30.0,37.3,42.0,51.2,20.6,24.0,24.0,42.0,36.0,30.0,42.0,32.0,36.6
33,033_calcom_cto,45.7,45.7,45.7,36.8,32.7,40.4,37.7,49.0,38.1,52.8,36.8,43.6,40.4,42.0,26.1,38.1,34.6,30.6,38.1,42.9,45.7,21.0,32.7,30.6,42.9,36.8,30.6,42.9,38.1,38.6
34,034_stripe_mid_frontend_dev,44.8,44.8,44.8,36.0,32.0,45.2,29.5,48.0,37.3,44.3,36.0,37.3,39.5,34.3,25.6,37.3,33.9,24.0,37.3,48.0,44.8,20.6,24.0,30.0,42.0,36.0,24.0,42.0,32.0,36.4
35,035_figma_product_designer,55.5,48.5,55.5,39.0,34.7,48.9,40.0,58.5,34.7,48.0,32.5,52.0,36.7,37.1,27.7,52.0,36.7,32.5,46.2,58.5,55.5,22.3,26.0,32.5,39.0,32.5,26.0,32.5,34.7,40.6
36,036_notion_frontend_eng,41.1,41.1,35.2,33.0,29.3,36.2,33.8,44.0,29.3,40.6,27.5,34.2,31.1,31.4,23.5,29.3,31.1,27.5,34.2,38.5,41.1,18.9,22.0,22.0,33.0,27.5,22.0,33.0,24.4,31.6
37,037_vercel_qa_eng,41.6,41.6,34.7,32.5,34.7,36.7,32.0,45.5,34.7,48.0,32.5,34.7,36.7,37.1,20.8,34.7,36.7,26.0,40.4,45.5,48.5,14.9,26.0,26.0,32.5,39.0,26.0,39.0,28.9,34.8
38,038_twilio_product_owner,32.0,37.3,32.0,25.0,26.7,28.2,30.8,35.0,22.2,30.8,25.0,22.2,23.5,28.6,16.0,22.2,28.2,20.0,31.1,35.0,32.0,17.1,20.0,20.0,25.0,25.0,20.0,30.0,22.2,26.3
39,039_datadog_ui_dev,35.5,30.4,30.4,28.5,25.3,26.8,23.4,38.0,25.3,40.9,28.5,29.6,31.3,27.1,20.3,29.6,26.8,23.8,29.6,33.2,40.5,16.3,19.0,19.0,28.5,23.8,19.0,33.2,25.3,27.9
40,040_atlassian_frontend_dev,43.9,37.6,37.6,35.2,31.3,38.7,36.2,47.0,31.3,43.4,35.2,41.8,33.2,33.6,25.1,41.8,33.2,29.4,36.6,47.0,43.9,20.1,31.3,23.5,35.2,29.4,23.5,35.2,31.3,34.9
41,041_shopify_web_dev,28.8,33.6,28.8,22.5,24.0,29.6,27.7,31.5,24.0,33.2,22.5,24.0,25.4,25.7,19.2,24.0,25.4,22.5,28.0,31.5,33.6,15.4,18.0,18.0,27.0,22.5,18.0,27.0,20.0,25.2
42,042_ustwo_web_designer,39.2,33.6,39.2,31.5,28.0,39.5,25.8,47.2,N/A,32.3,N/A,23.3,N/A,N/A,16.8,28.0,29.6,21.0,32.7,42.0,39.2,18.0,21.0,21.0,N/A,N/A,21.0,N/A,N/A,30.0
43,043_huge_creative_dev,45.7,39.2,45.7,36.8,32.7,40.4,30.2,49.0,32.7,45.2,30.6,38.1,34.6,35.0,26.1,38.1,34.6,30.6,38.1,42.9,45.7,21.0,24.5,30.6,36.8,30.6,24.5,36.8,27.2,35.3
44,044_fantasy_ux_designer,43.9,43.9,43.9,35.2,31.3,38.7,28.9,47.0,N/A,36.2,N/A,26.1,N/A,N/A,18.8,26.1,33.2,23.5,36.6,41.1,43.9,13.4,23.5,23.5,N/A,N/A,23.5,N/A,N/A,32.5
45,045_instrument_frontend_dev,35.5,30.4,35.5,28.5,25.3,31.3,23.4,38.0,25.3,35.1,23.8,25.3,26.8,27.1,20.3,25.3,26.8,23.8,29.6,33.2,35.5,16.3,19.0,19.0,28.5,23.8,19.0,28.5,21.1,26.9
46,046_ramotion_project_manager,39.2,39.2,39.2,31.5,28.0,34.6,32.3,42.0,N/A,32.3,N/A,N/A,N/A,N/A,22.4,23.3,29.6,21.0,32.7,36.8,39.2,18.0,21.0,21.0,N/A,N/A,21.0,N/A,N/A,30.2
47,047_trendyol_frontend_dev,31.2,31.2,31.2,24.4,26.0,32.1,30.0,34.1,26.0,36.0,24.4,26.0,27.5,27.9,20.8,26.0,27.5,24.4,30.3,34.1,36.4,16.7,19.5,19.5,29.2,24.4,19.5,29.2,21.7,27.1
48,048_getir_frontend_dev,36.8,36.8,36.8,28.7,30.7,37.9,35.4,40.2,30.7,42.5,28.7,30.7,32.5,32.9,24.5,30.7,32.5,28.7,35.8,40.2,42.9,19.7,23.0,23.0,34.5,28.7,23.0,34.5,25.6,32.0
49,049_insider_ux_designer,43.9,43.9,37.6,35.2,31.3,38.7,36.2,47.0,26.1,43.4,29.4,31.3,27.6,33.6,25.1,31.3,33.2,29.4,36.6,41.1,43.9,20.1,31.3,23.5,29.4,29.4,23.5,29.4,26.1,33.1
50,050_peakgames_game_ui_dev,54.1,46.4,54.1,43.5,38.7,47.8,26.8,58.0,N/A,44.6,N/A,32.2,N/A,N/A,30.9,38.7,40.9,36.2,45.1,50.8,54.1,24.9,29.0,29.0,N/A,N/A,29.0,N/A,N/A,40.7
51,051_freelance_web_designer,62.9,55.1,62.9,44.3,39.3,55.5,36.3,66.4,N/A,45.4,N/A,N/A,N/A,N/A,23.6,32.8,41.6,29.5,52.4,59.0,55.1,25.3,29.5,36.9,N/A,N/A,29.5,N/A,N/A,44.2
52,052_freelance_fullstack_dev,58.8,58.8,50.4,47.2,42.0,51.9,48.5,63.0,49.0,58.2,47.2,49.0,51.9,54.0,33.6,49.0,44.5,39.4,49.0,55.1,58.8,27.0,31.5,39.4,55.1,47.2,39.4,55.1,42.0,48.1
53,053_freelance_ux_consultant,49.5,49.5,49.5,39.8,28.3,43.6,40.8,53.0,29.4,48.9,33.1,35.3,31.2,37.9,21.2,35.3,37.4,26.5,41.2,53.0,49.5,15.1,35.3,26.5,33.1,33.1,26.5,33.1,29.4,36.8
54,054_freelance_mobile_dev,38.4,44.8,38.4,30.0,32.0,39.5,36.9,48.0,26.7,44.3,N/A,26.7,28.2,34.3,25.6,32.0,33.9,30.0,37.3,42.0,44.8,20.6,24.0,24.0,30.0,30.0,24.0,30.0,26.7,33.0
55,055_freelance_frontend_dev,36.4,36.4,31.2,29.2,26.0,32.1,30.0,34.1,26.0,36.0,24.4,30.3,27.5,27.9,20.8,30.3,27.5,24.4,30.3,34.1,36.4,16.7,19.5,19.5,29.2,24.4,19.5,29.2,26.0,28.1
56,056_freelance_ui_ux_designer,55.5,48.5,55.5,39.0,34.7,48.9,40.0,58.5,N/A,40.0,N/A,28.9,N/A,N/A,27.7,34.7,36.7,32.5,46.2,52.0,48.5,22.3,26.0,32.5,N/A,N/A,26.0,N/A,N/A,39.7
57,057_freelance_devops_eng,29.3,29.3,N/A,27.5,29.3,N/A,N/A,27.5,29.3,40.6,27.5,24.4,25.9,37.7,23.5,24.4,25.9,27.5,29.3,33.0,41.1,18.9,22.0,N/A,38.5,33.0,27.5,38.5,29.3,29.6
58,058_freelance_perf_consultant,31.3,37.6,N/A,29.4,31.3,N/A,N/A,29.4,36.6,50.6,29.4,36.6,27.6,33.6,25.1,31.3,27.6,29.4,31.3,35.2,50.1,20.1,23.5,N/A,35.2,29.4,23.5,35.2,36.6,32.3
59,059_maku_cs_4,55.1,55.1,55.1,44.3,39.3,48.6,45.4,59.0,39.3,54.5,36.9,39.3,34.7,42.1,31.5,39.3,41.6,36.9,45.9,51.6,55.1,25.3,29.5,29.5,36.9,36.9,29.5,36.9,32.8,41.7
60,060_itu_cs_3,43.2,43.2,43.2,40.5,36.0,38.1,41.5,47.2,36.0,49.8,40.5,42.0,38.1,38.6,28.8,42.0,38.1,33.8,42.0,47.2,50.4,23.1,27.0,27.0,40.5,33.8,27.0,40.5,30.0,38.2
61,061_odtu_cs_4,31.2,31.2,31.2,29.2,26.0,27.5,30.0,34.1,30.3,36.0,29.2,30.3,32.1,27.9,20.8,30.3,27.5,24.4,30.3,34.1,36.4,16.7,19.5,19.5,29.2,29.2,19.5,29.2,26.0,28.2
62,062_bogazici_cmpe_4,33.6,33.6,33.6,31.5,28.0,29.6,32.3,36.8,32.7,38.8,31.5,32.7,34.6,30.0,22.4,32.7,29.6,26.2,32.7,36.8,39.2,18.0,21.0,21.0,31.5,26.2,21.0,31.5,28.0,30.2
63,063_hacettepe_cs_3,33.6,33.6,33.6,26.2,28.0,29.6,32.3,36.8,23.3,32.3,26.2,28.0,24.7,30.0,22.4,28.0,29.6,26.2,28.0,31.5,33.6,18.0,21.0,21.0,26.2,N/A,21.0,26.2,N/A,27.8
64,064_ege_se_4,32.8,32.8,32.8,30.8,27.3,28.9,31.5,35.9,27.3,37.8,30.8,31.9,28.9,29.3,21.9,31.9,28.9,25.6,31.9,35.9,38.3,17.6,20.5,20.5,30.8,25.6,20.5,30.8,27.3,29.2
65,065_ytu_cs_3,24.8,24.8,24.8,19.4,20.7,21.9,23.8,27.1,17.2,23.8,19.4,20.7,18.2,22.1,16.5,20.7,21.9,19.4,20.7,23.2,24.8,13.3,15.5,15.5,19.4,N/A,15.5,19.4,N/A,20.5
66,066_ankara_cs_4,28.8,28.8,28.8,27.0,24.0,25.4,27.7,31.5,24.0,33.2,22.5,24.0,21.2,25.7,19.2,24.0,25.4,22.5,28.0,31.5,33.6,15.4,18.0,18.0,22.5,22.5,18.0,22.5,20.0,24.6
67,067_bootcamp_6month,44.0,44.0,44.0,34.4,36.7,38.8,42.3,48.1,30.6,N/A,N/A,30.6,N/A,N/A,29.3,30.6,38.8,34.4,42.8,41.2,44.0,23.6,27.5,27.5,N/A,N/A,27.5,34.4,N/A,36.1
68,068_selftaught_1year,32.0,32.0,32.0,25.0,26.7,28.2,30.8,35.0,22.2,N/A,N/A,22.2,N/A,N/A,16.0,22.2,28.2,25.0,26.7,30.0,32.0,17.1,20.0,20.0,N/A,N/A,20.0,N/A,N/A,25.9
69,069_careerchanger_teacher,28.9,28.9,24.8,19.4,20.7,25.5,23.8,27.1,N/A,N/A,N/A,N/A,N/A,N/A,16.5,N/A,21.9,15.5,24.1,27.1,24.8,13.3,15.5,15.5,N/A,N/A,15.5,N/A,N/A,21.6
70,070_onlinecourse_learner,28.0,28.0,28.0,21.9,23.3,24.7,26.9,30.6,19.4,N/A,N/A,19.4,N/A,N/A,18.7,19.4,24.7,21.9,23.3,26.2,28.0,15.0,17.5,17.5,N/A,N/A,17.5,N/A,N/A,22.9
71,071_bootcamp_3month_intensive,29.6,29.6,29.6,23.1,24.7,26.1,28.5,32.4,20.6,N/A,N/A,20.6,N/A,N/A,19.7,20.6,26.1,23.1,24.7,27.8,29.6,15.9,18.5,18.5,N/A,N/A,18.5,23.1,N/A,24.1
72,072_hobby_coder_mecheng,21.6,21.6,21.6,16.9,18.0,19.1,20.8,23.6,N/A,N/A,N/A,N/A,N/A,N/A,14.4,N/A,19.1,16.9,18.0,20.3,21.6,11.6,13.5,13.5,N/A,N/A,13.5,N/A,N/A,18.1
73,073_hci_professor,82.1,82.1,82.1,66.0,46.9,72.5,67.7,88.0,48.9,67.7,55.0,48.9,51.8,62.9,35.2,48.9,62.1,44.0,68.4,88.0,82.1,25.1,58.7,44.0,55.0,55.0,44.0,55.0,48.9,59.9
74,074_cs_research_assistant,28.8,28.8,28.8,27.0,24.0,25.4,27.7,31.5,24.0,33.2,27.0,24.0,21.2,25.7,19.2,24.0,25.4,22.5,28.0,31.5,33.6,15.4,18.0,18.0,27.0,22.5,18.0,22.5,20.0,24.9
75,075_ux_researcher_phd,41.1,41.1,41.1,33.0,23.5,36.2,33.8,44.0,N/A,33.8,N/A,24.4,N/A,N/A,17.6,24.4,31.1,22.0,34.2,44.0,41.1,12.6,29.3,22.0,N/A,N/A,22.0,N/A,N/A,31.1
76,076_software_eng_docent,37.6,37.6,37.6,35.2,31.3,33.2,36.2,41.1,36.6,43.4,35.2,36.6,33.2,33.6,25.1,36.6,33.2,29.4,36.6,41.1,43.9,20.1,23.5,23.5,41.1,35.2,23.5,35.2,31.3,34.1
77,077_backend_only_dev,48.8,48.8,N/A,38.1,40.7,N/A,N/A,N/A,40.7,56.3,45.7,33.9,35.9,52.3,32.5,33.9,43.1,38.1,47.4,53.4,56.9,26.1,30.5,N/A,45.7,45.7,38.1,53.4,40.7,42.8
78,078_data_scientist,34.4,34.4,N/A,26.9,28.7,N/A,N/A,37.6,23.9,39.7,32.2,23.9,N/A,N/A,22.9,23.9,30.4,26.9,33.4,37.6,40.1,18.4,21.5,N/A,26.9,26.9,21.5,32.2,23.9,29.1
79,079_mobile_dev_noweb,31.2,31.2,31.2,24.4,26.0,32.1,30.0,34.1,N/A,30.0,N/A,N/A,N/A,27.9,20.8,N/A,27.5,24.4,30.3,34.1,36.4,16.7,19.5,19.5,N/A,N/A,19.5,24.4,N/A,27.2
80,080_embedded_systems_eng,20.0,20.0,N/A,18.8,20.0,N/A,N/A,N/A,N/A,23.1,N/A,N/A,N/A,21.4,16.0,N/A,21.2,18.8,20.0,22.5,24.0,12.9,15.0,N/A,N/A,N/A,15.0,N/A,N/A,19.2
81,081_technical_writer,53.2,53.2,45.6,35.6,38.0,46.9,43.8,49.9,N/A,N/A,N/A,N/A,N/A,N/A,30.4,N/A,40.2,28.5,44.3,49.9,53.2,16.3,38.0,28.5,N/A,N/A,28.5,N/A,N/A,40.2
82,082_qa_test_engineer,26.4,26.4,26.4,20.6,22.0,23.3,25.4,28.9,22.0,30.5,20.6,22.0,23.3,23.6,13.2,22.0,23.3,16.5,25.7,28.9,30.8,9.4,16.5,16.5,24.7,24.7,16.5,24.7,18.3,22.5
83,083_scrum_master,24.0,24.0,N/A,18.8,N/A,N/A,N/A,26.2,N/A,N/A,N/A,N/A,N/A,N/A,16.0,N/A,21.2,15.0,23.3,26.2,24.0,12.9,15.0,15.0,N/A,N/A,15.0,N/A,N/A,19.8
84,084_indie_product_manager,24.8,28.9,24.8,19.4,20.7,21.9,23.8,27.1,17.2,28.6,19.4,17.2,18.2,22.1,16.5,17.2,21.9,15.5,24.1,27.1,24.8,13.3,15.5,15.5,19.4,19.4,15.5,23.2,17.2,20.7
85,085_opensource_contributor,32.0,32.0,32.0,30.0,26.7,28.2,30.8,35.0,31.1,36.9,30.0,35.6,32.9,28.6,21.3,35.6,28.2,25.0,31.1,35.0,37.3,17.1,20.0,20.0,35.0,30.0,20.0,35.0,26.7,29.6
86,086_highschool_it_teacher,37.3,37.3,32.0,30.0,26.7,32.9,30.8,35.0,22.2,30.8,25.0,22.2,23.5,28.6,21.3,22.2,28.2,25.0,31.1,35.0,37.3,17.1,26.7,20.0,25.0,N/A,20.0,25.0,N/A,27.7
87,087_junior_frontend_6month,36.4,31.2,31.2,24.4,26.0,32.1,30.0,34.1,26.0,30.0,24.4,26.0,22.9,27.9,20.8,26.0,27.5,24.4,30.3,34.1,36.4,16.7,19.5,19.5,24.4,24.4,19.5,24.4,21.7,26.6
88,088_software_intern,26.4,26.4,22.0,20.6,22.0,23.3,25.4,28.9,18.3,N/A,N/A,18.3,N/A,N/A,13.2,18.3,23.3,20.6,22.0,24.7,26.4,14.1,16.5,16.5,N/A,N/A,16.5,N/A,N/A,21.1
89,089_tech_blogger,33.6,28.8,28.8,22.5,24.0,29.6,27.7,36.0,20.0,27.7,N/A,20.0,N/A,N/A,19.2,20.0,25.4,22.5,28.0,31.5,33.6,15.4,18.0,18.0,22.5,N/A,18.0,22.5,N/A,24.7
90,090_cybersecurity_researcher,22.0,22.0,N/A,20.6,22.0,N/A,N/A,24.7,22.0,25.4,20.6,18.3,19.4,23.6,13.2,18.3,19.4,16.5,22.0,24.7,26.4,14.1,16.5,N/A,20.6,20.6,16.5,24.7,18.3,20.5
91,091_maku_cs_1,54.1,54.1,54.1,36.2,38.7,47.8,44.6,58.0,N/A,N/A,N/A,N/A,N/A,N/A,30.9,N/A,40.9,36.2,45.1,50.8,54.1,24.9,29.0,29.0,N/A,N/A,29.0,N/A,N/A,42.1
92,092_fresh_highschool_grad,21.5,18.4,21.5,14.4,15.3,18.9,17.7,23.0,N/A,N/A,N/A,N/A,N/A,N/A,12.3,N/A,16.2,14.4,15.3,20.1,18.4,9.9,11.5,11.5,N/A,N/A,11.5,N/A,N/A,16.2
93,093_firstsemester_pythononly,24.0,24.0,24.0,18.8,20.0,21.2,23.1,26.2,N/A,N/A,N/A,N/A,N/A,N/A,16.0,N/A,21.2,18.8,20.0,22.5,24.0,12.9,15.0,15.0,N/A,N/A,15.0,N/A,N/A,20.1
94,094_accountant_nocoding,61.6,52.8,61.6,N/A,N/A,N/A,N/A,57.7,N/A,N/A,N/A,N/A,N/A,N/A,35.2,N/A,46.6,41.2,51.3,57.7,52.8,28.3,33.0,N/A,N/A,N/A,33.0,N/A,N/A,47.1
95,095_lawyer_notech,28.0,24.0,28.0,N/A,N/A,24.7,N/A,26.2,N/A,N/A,N/A,N/A,N/A,N/A,16.0,N/A,21.2,18.8,23.3,26.2,24.0,12.9,15.0,N/A,N/A,N/A,15.0,N/A,N/A,21.7
96,096_biologist_noweb,19.2,19.2,19.2,N/A,N/A,16.9,N/A,21.0,N/A,N/A,N/A,N/A,N/A,N/A,12.8,N/A,16.9,15.0,18.7,21.0,19.2,10.3,12.0,N/A,N/A,N/A,12.0,N/A,N/A,16.7
97,097_graphicdesigner_printonly,35.2,22.0,35.2,N/A,N/A,31.1,N/A,37.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.3,20.6,25.7,33.0,N/A,14.1,16.5,20.6,N/A,N/A,16.5,N/A,N/A,25.5
98,098_casual_internet_user,25.2,21.6,21.6,N/A,N/A,19.1,N/A,23.6,N/A,N/A,N/A,N/A,N/A,N/A,14.4,N/A,19.1,16.9,18.0,20.3,21.6,11.6,13.5,N/A,N/A,N/A,13.5,N/A,N/A,18.6
99,099_retired_teacher,28.8,24.0,28.8,N/A,N/A,25.4,N/A,27.0,N/A,N/A,N/A,N/A,N/A,N/A,19.2,N/A,25.4,22.5,24.0,27.0,24.0,10.3,18.0,N/A,N/A,N/A,18.0,N/A,N/A,23.0
100,100_highschool_student,27.1,23.2,27.1,N/A,N/A,23.9,17.8,29.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.5,18.1,22.6,25.4,23.2,12.4,14.5,14.5,N/A,N/A,14.5,N/A,N/A,20.9
